Pathway	Gene	OG_TSG
NOTCH	CNTN6	TSG
NOTCH	CREBBP	TSG
NOTCH	EP300	TSG
NOTCH	HES1	TSG
NOTCH	HES2	TSG
NOTCH	HES3	TSG
NOTCH	HES4	TSG
NOTCH	HES5	TSG
NOTCH	HEY1	TSG
NOTCH	HEY2	TSG
NOTCH	HEYL	TSG
NOTCH	KAT2B	TSG
NOTCH	KDM5A	OG
NOTCH	NOTCH1	TSG
NOTCH	NOTCH2	TSG
NOTCH	NOTCH3	TSG
NOTCH	NOTCH4	TSG
NOTCH	NOV	TSG
NOTCH	NRARP	OG
NOTCH	PSEN2	TSG
NOTCH	LFNG	
NOTCH	ITCH	
NOTCH	NCSTN	
NOTCH	SPEN	TSG
NOTCH	JAG1	
NOTCH	APH1A	
NOTCH	FBXW7	TSG
NOTCH	FHL1	
NOTCH	THBS2	
NOTCH	HDAC2	
NOTCH	MFAP2	
NOTCH	CUL1	TSG
NOTCH	RFNG	
NOTCH	NCOR1	TSG
NOTCH	NCOR2	TSG
NOTCH	MFAP5	
NOTCH	HDAC1	OG
NOTCH	NUMB	
NOTCH	JAG2	TSG
NOTCH	MAML3	TSG
NOTCH	MFNG	
NOTCH	CIR1	
NOTCH	CNTN1	
NOTCH	MAML1	
NOTCH	MAML2	
NOTCH	NUMBL	
NOTCH	PSEN1	
NOTCH	PSENEN	
NOTCH	RBPJ	
NOTCH	RBPJL	
NOTCH	RBX1	
NOTCH	SAP30	
NOTCH	SKP1	
NOTCH	SNW1	
NOTCH	CTBP1	
NOTCH	CTBP2	
NOTCH	ADAM10	
NOTCH	APH1B	
NOTCH	ADAM17	
NOTCH	DLK1	
NOTCH	DLL1	
NOTCH	DLL3	
NOTCH	DLL4	
NOTCH	DNER	TSG
NOTCH	DTX1	
NOTCH	DTX2	
NOTCH	DTX3	
NOTCH	DTX3L	
NOTCH	DTX4	
NOTCH	EGFL7	
NRF2	NFE2L2	OG
NRF2	KEAP1	TSG
NRF2	CUL3	TSG
PI3K	EIF4EBP1	OG
PI3K	AKT1	OG
PI3K	AKT2	OG
PI3K	AKT3	OG
PI3K	AKT1S1	OG
PI3K	DEPDC5	
PI3K	DEPTOR	OG
PI3K	INPP4B	TSG
PI3K	MAPKAP1	OG
PI3K	MLST8	OG
PI3K	MTOR	OG
PI3K	NPRL2	TSG
PI3K	NPRL3	TSG
PI3K	PDK1	OG
PI3K	PIK3CA	OG
PI3K	PIK3CB	OG
PI3K	PIK3R1	TSG
PI3K	PIK3R2	OG
PI3K	PIK3R3	TSG
PI3K	PPP2R1A	TSG
PI3K	PTEN	TSG
PI3K	RHEB	OG
PI3K	RICTOR	OG
PI3K	RPTOR	OG
PI3K	RPS6	OG
PI3K	RPS6KB1	OG
PI3K	STK11	TSG
PI3K	TSC1	TSG
PI3K	TSC2	TSG
TGF-Beta	TGFBR1	TSG
TGF-Beta	TGFBR2	TSG
TGF-Beta	ACVR2A	TSG
TGF-Beta	ACVR1B	TSG
TGF-Beta	SMAD2	TSG
TGF-Beta	SMAD3	TSG
TGF-Beta	SMAD4	TSG
RTK-RAS	ABL1	OG
RTK-RAS	EGFR	OG
RTK-RAS	ERBB2	OG
RTK-RAS	ERBB3	OG
RTK-RAS	ERBB4	OG
RTK-RAS	PDGFRA	OG
RTK-RAS	PDGFRB	OG
RTK-RAS	MET	OG
RTK-RAS	FGFR1	OG
RTK-RAS	FGFR2	OG
RTK-RAS	FGFR3	OG
RTK-RAS	FGFR4	OG
RTK-RAS	FLT3	OG
RTK-RAS	ALK	OG
RTK-RAS	RET	OG
RTK-RAS	ROS1	OG
RTK-RAS	KIT	OG
RTK-RAS	IGF1R	OG
RTK-RAS	NTRK1	OG
RTK-RAS	NTRK2	OG
RTK-RAS	NTRK3	OG
RTK-RAS	SOS1	OG
RTK-RAS	GRB2	OG
RTK-RAS	PTPN11	OG
RTK-RAS	KRAS	OG
RTK-RAS	HRAS	OG
RTK-RAS	NRAS	OG
RTK-RAS	RIT1	OG
RTK-RAS	ARAF	OG
RTK-RAS	BRAF	OG
RTK-RAS	RAF1	OG
RTK-RAS	RAC1	OG
RTK-RAS	MAP2K1	OG
RTK-RAS	MAP2K2	OG
RTK-RAS	MAPK1	OG
RTK-RAS	NF1	TSG
RTK-RAS	RASA1	TSG
RTK-RAS	CBL	TSG
RTK-RAS	ERRFI1	TSG
RTK-RAS	CBLB	NA
RTK-RAS	CBLC	NA
RTK-RAS	INSR	NA
RTK-RAS	INSRR	NA
RTK-RAS	IRS1	NA
RTK-RAS	SOS2	NA
RTK-RAS	SHC1	NA
RTK-RAS	SHC2	NA
RTK-RAS	SHC3	NA
RTK-RAS	SHC4	NA
RTK-RAS	RASGRP1	NA
RTK-RAS	RASGRP2	NA
RTK-RAS	RASGRP3	NA
RTK-RAS	RASGRP4	NA
RTK-RAS	RAPGEF1	NA
RTK-RAS	RAPGEF2	NA
RTK-RAS	RASGRF1	NA
RTK-RAS	RASGRF2	NA
RTK-RAS	FNTA	NA
RTK-RAS	FNTB	NA
RTK-RAS	RCE1	NA
RTK-RAS	ICMT	NA
RTK-RAS	MRAS	NA
RTK-RAS	PLXNB1	NA
RTK-RAS	MAPK3	NA
RTK-RAS	ARHGAP35	NA
RTK-RAS	RASA2	NA
RTK-RAS	RASA3	NA
RTK-RAS	RASAL1	NA
RTK-RAS	RASAL2	NA
RTK-RAS	RASAL3	NA
RTK-RAS	SPRED1	NA
RTK-RAS	SPRED2	NA
RTK-RAS	SPRED3	NA
RTK-RAS	DAB2IP	NA
RTK-RAS	SHOC2	NA
RTK-RAS	PPP1CA	NA
RTK-RAS	SCRIB	NA
RTK-RAS	PIN1	NA
RTK-RAS	KSR1	NA
RTK-RAS	KSR2	NA
RTK-RAS	PEBP1	NA
RTK-RAS	ERF	TSG
RTK-RAS	PEA15	NA
RTK-RAS	JAK2	OG
RTK-RAS	IRS2	OG
TP53	TP53	TSG
TP53	MDM2	OG
TP53	MDM4	OG
TP53	ATM	TSG
TP53	CHEK2	TSG
TP53	RPS6KA3	OG
WNT	CHD8	NA
WNT	LEF1	OG
WNT	LGR4	OG
WNT	LGR5	OG
WNT	LRP5	OG
WNT	LRP6	OG
WNT	LZTR1	NA
WNT	NDP	NA
WNT	PORCN	OG
WNT	RSPO1	OG
WNT	SFRP1	TSG
WNT	SFRP2	TSG
WNT	SFRP4	TSG
WNT	SFRP5	TSG
WNT	SOST	TSG
WNT	TCF7L1	TSG
WNT	TLE1	TSG
WNT	TLE2	TSG
WNT	TLE3	TSG
WNT	TLE4	TSG
WNT	WIF1	TSG
WNT	ZNRF3	TSG
WNT	CTNNB1	OG
WNT	DVL1	OG
WNT	DVL2	OG
WNT	DVL3	OG
WNT	FRAT1	OG
WNT	FRAT2	OG
WNT	FZD1	OG
WNT	FZD10	OG
WNT	FZD2	OG
WNT	FZD3	OG
WNT	FZD4	OG
WNT	FZD5	OG
WNT	FZD6	OG
WNT	FZD7	OG
WNT	FZD8	OG
WNT	FZD9	OG
WNT	WNT1	OG
WNT	WNT10A	OG
WNT	WNT10B	OG
WNT	WNT11	OG
WNT	WNT16	OG
WNT	WNT2	OG
WNT	WNT3A	OG
WNT	WNT4	OG
WNT	WNT5A	OG
WNT	WNT5B	OG
WNT	WNT6	OG
WNT	WNT7A	OG
WNT	WNT7B	OG
WNT	WNT8A	OG
WNT	WNT8B	OG
WNT	WNT9A	OG
WNT	WNT9B	OG
WNT	AMER1	TSG
WNT	APC	TSG
WNT	AXIN1	TSG
WNT	AXIN2	TSG
WNT	DKK1	TSG
WNT	DKK2	TSG
WNT	DKK3	TSG
WNT	DKK4	TSG
WNT	GSK3B	TSG
WNT	RNF43	TSG
WNT	TCF7	TSG
WNT	TCF7L2	TSG
WNT	CHD4	
Base Excision Repair	APLF	NA
Base Excision Repair	APTX	NA
Base Excision Repair	LIG1	NA
Base Excision Repair	LIG3	NA
Base Excision Repair	PARG	NA
Base Excision Repair	PARP1	NA
Base Excision Repair	PARP3	NA
Base Excision Repair	PNKP	NA
Base Excision Repair	POLB	NA
Base Excision Repair	POLL	NA
Base Excision Repair	XRCC1	NA
Base Excision Repair	HMGB1	NA
Base Excision Repair	PCNA	NA
Base Excision Repair	POLD1	NA
Base Excision Repair	POLD2	NA
Base Excision Repair	POLD3	NA
Base Excision Repair	POLD4	NA
Base Excision Repair	RFC1	NA
Base Excision Repair	RFC2	NA
Base Excision Repair	RFC3	NA
Base Excision Repair	RFC4	NA
Base Excision Repair	RFC5	NA
Base Excision Repair	ALKBH1	NA
Base Excision Repair	APEX1	NA
Base Excision Repair	APEX2	NA
Base Excision Repair	FEN1	NA
Base Excision Repair	HMGB2	NA
Base Excision Repair	MBD4	NA
Base Excision Repair	MPG	NA
Base Excision Repair	MUTYH	NA
Base Excision Repair	NEIL1	NA
Base Excision Repair	NEIL2	NA
Base Excision Repair	NEIL3	NA
Base Excision Repair	NTHL1	NA
Base Excision Repair	OGG1	NA
Base Excision Repair	PARP2	NA
Base Excision Repair	PARP4	NA
Base Excision Repair	POLE	NA
Base Excision Repair	POLE2	NA
Base Excision Repair	POLE3	NA
Base Excision Repair	POLE4	NA
Base Excision Repair	POLK	NA
Base Excision Repair	SMUG1	NA
Base Excision Repair	TDG	NA
Base Excision Repair	TDP1	NA
Base Excision Repair	UNG	NA
Base Excision Repair	WRN	NA
Nucleotide Excision Repair 	LIG1	NA
Nucleotide Excision Repair 	PCNA	NA
Nucleotide Excision Repair 	POLD1	NA
Nucleotide Excision Repair 	POLD2	NA
Nucleotide Excision Repair 	POLD3	NA
Nucleotide Excision Repair 	POLD4	NA
Nucleotide Excision Repair 	RFC1	NA
Nucleotide Excision Repair 	RFC2	NA
Nucleotide Excision Repair 	RFC3	NA
Nucleotide Excision Repair 	RFC4	NA
Nucleotide Excision Repair 	RFC5	NA
Nucleotide Excision Repair 	RPA1	NA
Nucleotide Excision Repair 	RPA2	NA
Nucleotide Excision Repair 	RPA3	NA
Nucleotide Excision Repair 	RPA4	NA
Nucleotide Excision Repair 	CCNH	NA
Nucleotide Excision Repair 	CDK7	NA
Nucleotide Excision Repair 	CETN2	NA
Nucleotide Excision Repair 	CUL3	NA
Nucleotide Excision Repair 	CUL4A	NA
Nucleotide Excision Repair 	CUL5	NA
Nucleotide Excision Repair 	DDB1	NA
Nucleotide Excision Repair 	DDB2	NA
Nucleotide Excision Repair 	ERCC1	NA
Nucleotide Excision Repair 	ERCC2	NA
Nucleotide Excision Repair 	ERCC3	NA
Nucleotide Excision Repair 	ERCC4	NA
Nucleotide Excision Repair 	ERCC5	NA
Nucleotide Excision Repair 	ERCC6	NA
Nucleotide Excision Repair 	ERCC8	NA
Nucleotide Excision Repair 	GTF2H1	NA
Nucleotide Excision Repair 	GTF2H2	NA
Nucleotide Excision Repair 	GTF2H3	NA
Nucleotide Excision Repair 	GTF2H4	NA
Nucleotide Excision Repair 	GTF2H5	NA
Nucleotide Excision Repair 	MMS19	NA
Nucleotide Excision Repair 	MNAT1	NA
Nucleotide Excision Repair 	POLE	NA
Nucleotide Excision Repair 	POLE2	NA
Nucleotide Excision Repair 	POLE3	NA
Nucleotide Excision Repair 	POLE4	NA
Nucleotide Excision Repair 	RAD23A	NA
Nucleotide Excision Repair 	RAD23B	NA
Nucleotide Excision Repair 	RBX1	NA
Nucleotide Excision Repair 	TCEA1	NA
Nucleotide Excision Repair 	TCEB1	NA
Nucleotide Excision Repair 	TCEB2	NA
Nucleotide Excision Repair 	UVSSA	NA
Nucleotide Excision Repair 	XAB2	NA
Nucleotide Excision Repair 	XPA	NA
Nucleotide Excision Repair 	XPC	NA
Mismatch Repair	LIG1	NA
Mismatch Repair	EXO1	NA
Mismatch Repair	HMGB1	NA
Mismatch Repair	MLH1	NA
Mismatch Repair	MLH3	NA
Mismatch Repair	MSH2	NA
Mismatch Repair	MSH3	NA
Mismatch Repair	MSH6	NA
Mismatch Repair	PCNA	NA
Mismatch Repair	PMS1	NA
Mismatch Repair	PMS2	NA
Mismatch Repair	POLD1	NA
Mismatch Repair	POLD2	NA
Mismatch Repair	POLD3	NA
Mismatch Repair	POLD4	NA
Mismatch Repair	RFC1	NA
Mismatch Repair	RFC2	NA
Mismatch Repair	RFC3	NA
Mismatch Repair	RFC4	NA
Mismatch Repair	RFC5	NA
Mismatch Repair	RPA1	NA
Mismatch Repair	RPA2	NA
Mismatch Repair	RPA3	NA
Mismatch Repair	RPA4	NA
Fanconi Anemia	XRCC2	NA
Fanconi Anemia	APITD1	NA
Fanconi Anemia	BARD1	NA
Fanconi Anemia	BLM	NA
Fanconi Anemia	BRCA1	NA
Fanconi Anemia	BRCA2	NA
Fanconi Anemia	BRE	NA
Fanconi Anemia	BRIP1	NA
Fanconi Anemia	ERCC1	NA
Fanconi Anemia	ERCC4	NA
Fanconi Anemia	FAAP100	NA
Fanconi Anemia	FAAP24	NA
Fanconi Anemia	FAAP20	NA
Fanconi Anemia	FAN1	NA
Fanconi Anemia	FANCA	NA
Fanconi Anemia	FANCB	NA
Fanconi Anemia	FANCC	NA
Fanconi Anemia	FANCD2	NA
Fanconi Anemia	FANCE	NA
Fanconi Anemia	FANCF	NA
Fanconi Anemia	FANCG	NA
Fanconi Anemia	FANCI	NA
Fanconi Anemia	FANCL	NA
Fanconi Anemia	FANCM	NA
Fanconi Anemia	HELQ	NA
Fanconi Anemia	HES1	NA
Fanconi Anemia	MAD2L2	NA
Fanconi Anemia	PALB2	NA
Fanconi Anemia	RAD51	NA
Fanconi Anemia	RAD51C	NA
Fanconi Anemia	RMI1	NA
Fanconi Anemia	RMI2	NA
Fanconi Anemia	SLX1A	NA
Fanconi Anemia	SLX4	NA
Fanconi Anemia	STRA13	NA
Fanconi Anemia	TELO2	NA
Fanconi Anemia	TOP3A	NA
Fanconi Anemia	TOP3B	NA
Fanconi Anemia	UBE2T	NA
Fanconi Anemia	USP1	NA
Fanconi Anemia	WDR48	NA
Homology-dependent recombination	LIG1	NA
Homology-dependent recombination	MRE11A	NA
Homology-dependent recombination	NBN	NA
Homology-dependent recombination	PARG	NA
Homology-dependent recombination	PARP1	NA
Homology-dependent recombination	PARPBP	NA
Homology-dependent recombination	RAD50	NA
Homology-dependent recombination	TP53BP1	NA
Homology-dependent recombination	XRCC2	NA
Homology-dependent recombination	XRCC3	NA
Homology-dependent recombination	EXO1	NA
Homology-dependent recombination	PCNA	NA
Homology-dependent recombination	POLD1	NA
Homology-dependent recombination	POLD2	NA
Homology-dependent recombination	POLD3	NA
Homology-dependent recombination	POLD4	NA
Homology-dependent recombination	RFC1	NA
Homology-dependent recombination	RFC2	NA
Homology-dependent recombination	RFC3	NA
Homology-dependent recombination	RFC4	NA
Homology-dependent recombination	RFC5	NA
Homology-dependent recombination	RPA1	NA
Homology-dependent recombination	RPA2	NA
Homology-dependent recombination	RPA3	NA
Homology-dependent recombination	RPA4	NA
Homology-dependent recombination	BARD1	NA
Homology-dependent recombination	BLM	NA
Homology-dependent recombination	BRCA1	NA
Homology-dependent recombination	BRCA2	NA
Homology-dependent recombination	BRIP1	NA
Homology-dependent recombination	DMC1	NA
Homology-dependent recombination	DNA2	NA
Homology-dependent recombination	EID3	NA
Homology-dependent recombination	EME1	NA
Homology-dependent recombination	EME2	NA
Homology-dependent recombination	ERCC1	NA
Homology-dependent recombination	FANCM	NA
Homology-dependent recombination	FEN1	NA
Homology-dependent recombination	GEN1	NA
Homology-dependent recombination	H2AFX	NA
Homology-dependent recombination	HELQ	NA
Homology-dependent recombination	HFM1	NA
Homology-dependent recombination	INO80	NA
Homology-dependent recombination	KAT5	NA
Homology-dependent recombination	MUS81	NA
Homology-dependent recombination	NFATC2IP	NA
Homology-dependent recombination	NSMCE1	NA
Homology-dependent recombination	NSMCE2	NA
Homology-dependent recombination	NSMCE3	NA
Homology-dependent recombination	NSMCE4A	NA
Homology-dependent recombination	PALB2	NA
Homology-dependent recombination	PARP2	NA
Homology-dependent recombination	PAXIP1	NA
Homology-dependent recombination	POLH	NA
Homology-dependent recombination	POLQ	NA
Homology-dependent recombination	PPP4C	NA
Homology-dependent recombination	PPP4R1	NA
Homology-dependent recombination	PPP4R2	NA
Homology-dependent recombination	PPP4R4	NA
Homology-dependent recombination	RAD51	NA
Homology-dependent recombination	RAD51B	NA
Homology-dependent recombination	RAD51C	NA
Homology-dependent recombination	RAD51D	NA
Homology-dependent recombination	RAD52	NA
Homology-dependent recombination	RAD54B	NA
Homology-dependent recombination	RAD54L	NA
Homology-dependent recombination	RBBP8	NA
Homology-dependent recombination	RDM1	NA
Homology-dependent recombination	RECQL	NA
Homology-dependent recombination	RECQL4	NA
Homology-dependent recombination	RECQL5	NA
Homology-dependent recombination	RMI1	NA
Homology-dependent recombination	RMI2	NA
Homology-dependent recombination	RTEL1	NA
Homology-dependent recombination	SHFM1	NA
Homology-dependent recombination	SLX1A	NA
Homology-dependent recombination	SLX1B	NA
Homology-dependent recombination	SLX4	NA
Homology-dependent recombination	SMARCAD1	NA
Homology-dependent recombination	SMC5	NA
Homology-dependent recombination	SMC6	NA
Homology-dependent recombination	SPO11	NA
Homology-dependent recombination	SWSAP1	NA
Homology-dependent recombination	TOP3A	NA
Homology-dependent recombination	TOP3B	NA
Homology-dependent recombination	UIMC1	NA
Homology-dependent recombination	WRN	NA
Homology-dependent recombination	ZSWIM7	NA
Non-homologous End Joining	DNTT	NA
Non-homologous End Joining	LIG4	NA
Non-homologous End Joining	MRE11A	NA
Non-homologous End Joining	NBN	NA
Non-homologous End Joining	NHEJ1	NA
Non-homologous End Joining	PARG	NA
Non-homologous End Joining	PARP1	NA
Non-homologous End Joining	PARP3	NA
Non-homologous End Joining	PNKP	NA
Non-homologous End Joining	POLB	NA
Non-homologous End Joining	POLL	NA
Non-homologous End Joining	POLM	NA
Non-homologous End Joining	PRKDC	NA
Non-homologous End Joining	RAD50	NA
Non-homologous End Joining	RNF168	NA
Non-homologous End Joining	RNF8	NA
Non-homologous End Joining	TP53BP1	NA
Non-homologous End Joining	XRCC4	NA
Non-homologous End Joining	XRCC5	NA
Non-homologous End Joining	XRCC6	NA
Non-homologous End Joining	DCLRE1C	NA
Non-homologous End Joining	FAM175A	NA
Non-homologous End Joining	RIF1	NA
Direct Repair	ASCC3	NA
Direct Repair	ALKBH2	NA
Direct Repair	ALKBH3	NA
Direct Repair	MGMT	NA
Translesion Synthesis	POLB	NA
Translesion Synthesis	POLM	NA
Translesion Synthesis	UBE2A	NA
Translesion Synthesis	PCNA	NA
Translesion Synthesis	HLTF	NA
Translesion Synthesis	MAD2L2	NA
Translesion Synthesis	POLH	NA
Translesion Synthesis	POLI	NA
Translesion Synthesis	POLK	NA
Translesion Synthesis	POLN	NA
Translesion Synthesis	POLQ	NA
Translesion Synthesis	RAD18	NA
Translesion Synthesis	REV1	NA
Translesion Synthesis	REV3L	NA
Translesion Synthesis	SHPRH	NA
Translesion Synthesis	UBE2B	NA
Translesion Synthesis	UBE2N	NA
Translesion Synthesis	UBE2V2	NA
Translesion Synthesis	USP1	NA
Translesion Synthesis	WDR48	NA
Nucleotide pools	NUDT1	NA
Nucleotide pools	NUDT15	NA
Nucleotide pools	NUDT18	NA
Nucleotide pools	RRM1	NA
Nucleotide pools	RRM2	NA
Others – DDR	ATM	NA
Others – DDR	ATR	NA
Others – DDR	ATRIP	NA
Others – DDR	ATRX	NA
Others – DDR	CHAF1A	NA
Others – DDR	CHEK1	NA
Others – DDR	CHEK2	NA
Others – DDR	CLK2	NA
Others – DDR	DCLRE1A	NA
Others – DDR	DCLRE1B	NA
Others – DDR	DUT	NA
Others – DDR	GADD45A	NA
Others – DDR	GADD45G	NA
Others – DDR	HUS1	NA
Others – DDR	MDC1	NA
Others – DDR	MPLKIP	NA
Others – DDR	MRPL40	NA
Others – DDR	NABP2	NA
Others – DDR	PER1	NA
Others – DDR	POLA1	NA
Others – DDR	POLG	NA
Others – DDR	PRPF19	NA
Others – DDR	RAD1	NA
Others – DDR	RAD17	NA
Others – DDR	RAD9A	NA
Others – DDR	RIF1	NA
Others – DDR	RNMT	NA
Others – DDR	RRM2B	NA
Others – DDR	SETMAR	NA
Others – DDR	SLX4	NA
Others – DDR	TOPBP1	NA
Others – DDR	TP53	NA
Others – DDR	TREX1	NA
Others – DDR	TREX2	NA
Others – DDR	TYMS	NA
Others – DDR	PTEN	NA
Others – DDR	TDP2	NA
Others – DDR	ENDOV	NA
Others – DDR	SPRTN	NA
Others – DDR	RNF4	NA
Others – DDR	SMARCA4	NA
Others – DDR	IDH1	NA
Others – DDR	SOX4	NA
Others – DDR	WEE1	NA
Others – DDR	RAD9B	NA
Others – DDR	AEN	NA
Others – DDR	PLK3	NA
Others – DDR	EXO5	NA
Others – DDR	CDC5L	NA
Others – DDR	BCAS2	NA
Others – DDR	PLRG1	NA
Others – DDR	YWHAB	NA
Others – DDR	YWHAG	NA
Others – DDR	YWHAE	NA
Others – DDR	CDC25A	NA
Others – DDR	CDC25B	NA
Others – DDR	CDC25C	NA
Others – DDR	BABAM1	NA
Others – DDR	BRCC3	NA
Others – DDR	TTK	NA
Others – DDR	SMARCC1	NA
Others – DDR	SWI5	NA
Others – DDR	MORF4L1	NA
Others – DDR	RNF169	NA
Others – DDR	HERC2	NA
DDR	APLF	NA
DDR	APTX	NA
DDR	ASCC3	NA
DDR	DNTT	NA
DDR	LIG1	NA
DDR	LIG3	NA
DDR	LIG4	NA
DDR	MRE11A	NA
DDR	NBN	NA
DDR	NHEJ1	NA
DDR	PARG	NA
DDR	PARP1	NA
DDR	PARP3	NA
DDR	PARPBP	NA
DDR	PNKP	NA
DDR	POLB	NA
DDR	POLL	NA
DDR	POLM	NA
DDR	PRKDC	NA
DDR	RAD50	NA
DDR	RNF168	NA
DDR	RNF8	NA
DDR	TP53BP1	NA
DDR	XRCC1	NA
DDR	XRCC2	NA
DDR	XRCC3	NA
DDR	XRCC4	NA
DDR	XRCC5	NA
DDR	XRCC6	NA
DDR	UBE2A	NA
DDR	EXO1	NA
DDR	HMGB1	NA
DDR	MLH1	NA
DDR	MLH3	NA
DDR	MSH2	NA
DDR	MSH3	NA
DDR	MSH6	NA
DDR	PCNA	NA
DDR	PMS1	NA
DDR	PMS2	NA
DDR	POLD1	NA
DDR	POLD2	NA
DDR	POLD3	NA
DDR	POLD4	NA
DDR	RFC1	NA
DDR	RFC2	NA
DDR	RFC3	NA
DDR	RFC4	NA
DDR	RFC5	NA
DDR	RPA1	NA
DDR	RPA2	NA
DDR	RPA3	NA
DDR	RPA4	NA
DDR	ALKBH1	NA
DDR	ALKBH2	NA
DDR	ALKBH3	NA
DDR	APEX1	NA
DDR	APEX2	NA
DDR	APITD1	NA
DDR	ATM	NA
DDR	ATR	NA
DDR	ATRIP	NA
DDR	ATRX	NA
DDR	BARD1	NA
DDR	BLM	NA
DDR	BRCA1	NA
DDR	BRCA2	NA
DDR	BRE	NA
DDR	BRIP1	NA
DDR	CCNH	NA
DDR	CDK7	NA
DDR	CETN2	NA
DDR	CHAF1A	NA
DDR	CHEK1	NA
DDR	CHEK2	NA
DDR	CLK2	NA
DDR	CUL3	NA
DDR	CUL4A	NA
DDR	CUL5	NA
DDR	DCLRE1A	NA
DDR	DCLRE1B	NA
DDR	DCLRE1C	NA
DDR	DDB1	NA
DDR	DDB2	NA
DDR	DMC1	NA
DDR	DNA2	NA
DDR	DUT	NA
DDR	EID3	NA
DDR	EME1	NA
DDR	EME2	NA
DDR	ERCC1	NA
DDR	ERCC2	NA
DDR	ERCC3	NA
DDR	ERCC4	NA
DDR	ERCC5	NA
DDR	ERCC6	NA
DDR	ERCC8	NA
DDR	FAAP100	NA
DDR	FAAP24	NA
DDR	FAAP20	NA
DDR	FAM175A	NA
DDR	FAN1	NA
DDR	FANCA	NA
DDR	FANCB	NA
DDR	FANCC	NA
DDR	FANCD2	NA
DDR	FANCE	NA
DDR	FANCF	NA
DDR	FANCG	NA
DDR	FANCI	NA
DDR	FANCL	NA
DDR	FANCM	NA
DDR	FEN1	NA
DDR	GADD45A	NA
DDR	GADD45G	NA
DDR	GEN1	NA
DDR	GTF2H1	NA
DDR	GTF2H2	NA
DDR	GTF2H3	NA
DDR	GTF2H4	NA
DDR	GTF2H5	NA
DDR	H2AFX	NA
DDR	HELQ	NA
DDR	HES1	NA
DDR	HFM1	NA
DDR	HLTF	NA
DDR	HMGB2	NA
DDR	HUS1	NA
DDR	INO80	NA
DDR	KAT5	NA
DDR	MAD2L2	NA
DDR	MBD4	NA
DDR	MDC1	NA
DDR	MGMT	NA
DDR	MMS19	NA
DDR	MNAT1	NA
DDR	MPG	NA
DDR	MPLKIP	NA
DDR	MRPL40	NA
DDR	MUS81	NA
DDR	MUTYH	NA
DDR	NABP2	NA
DDR	NEIL1	NA
DDR	NEIL2	NA
DDR	NEIL3	NA
DDR	NFATC2IP	NA
DDR	NSMCE1	NA
DDR	NSMCE2	NA
DDR	NSMCE3	NA
DDR	NSMCE4A	NA
DDR	NTHL1	NA
DDR	NUDT1	NA
DDR	NUDT15	NA
DDR	NUDT18	NA
DDR	RRM1	NA
DDR	RRM2	NA
DDR	OGG1	NA
DDR	PALB2	NA
DDR	PARP2	NA
DDR	PARP4	NA
DDR	PAXIP1	NA
DDR	PER1	NA
DDR	POLA1	NA
DDR	POLE	NA
DDR	POLE2	NA
DDR	POLE3	NA
DDR	POLE4	NA
DDR	POLG	NA
DDR	POLH	NA
DDR	POLI	NA
DDR	POLK	NA
DDR	POLN	NA
DDR	POLQ	NA
DDR	PPP4C	NA
DDR	PPP4R1	NA
DDR	PPP4R2	NA
DDR	PPP4R4	NA
DDR	PRPF19	NA
DDR	RAD1	NA
DDR	RAD17	NA
DDR	RAD18	NA
DDR	RAD23A	NA
DDR	RAD23B	NA
DDR	RAD51	NA
